Job Title,Company,Skills,Location,Job Type,Date Posted,Job URL
staff software engineer,malt,"software, design, technical, support, code, java, cloud, strategy, lead, senior, operational, excel, engineer, engineering, backend",france,not specified,2026-01-03,https://remoteok.com/remote-jobs/remote-staff-software-engineer-malt-1129398
executive assistant operations virtual assistant,assist world,"assistant, system, consulting, founder, support, bookkeeping, financial, admin, management, operations, executive",probably worldwide,not specified,2026-01-02,https://remoteok.com/remote-jobs/remote-executive-assistant-operations-virtual-assistant-assist-world-1129394
marketing & sponsorship coordinator,assist world,"coordinator, support, content, marketing, sales, non tech",probably worldwide,not specified,2026-01-02,https://remoteok.com/remote-jobs/remote-marketing-amp-sponsorship-coordinator-assist-world-1129393
staff software engineer money,galileo financial technologies,"software, finance, financial, banking, excel, analytics, engineer, engineering",new york city,not specified,2026-01-01,https://remoteok.com/remote-jobs/remote-staff-software-engineer-money-galileo-financial-technologies-1129390
senior cloud engineer,clickhouse,"security, architect, c, cloud, senior, engineer",united states,not specified,2026-01-01,https://remoteok.com/remote-jobs/remote-senior-cloud-engineer-clickhouse-1129389
regional director public sector sales dow,chainguard,"director, security, software, cloud, management, marketing, sales",washington dc,not specified,2026-01-01,https://remoteok.com/remote-jobs/remote-regional-director-public-sector-sales-dow-chainguard-1129388
senior staff ai software engineer,aegis ventures,"software, python, technical, growth, senior, operational, health, healthcare, engineer, backend","remote, u.s.",not specified,2026-01-01,https://remoteok.com/remote-jobs/remote-senior-staff-ai-software-engineer-aegis-ventures-1129387
security architect,dexterity,"security, architect, python, full-stack, docker, software, devops, c++, cloud, robotics, git, operations",redwood city,not specified,2025-12-31,https://remoteok.com/remote-jobs/remote-security-architect-dexterity-1129385
member of technical staff fullstack engineer,inflection ai,"technical, support, engineer, engineering, backend, fullstack",palo alto,not specified,2025-12-31,https://remoteok.com/remote-jobs/remote-member-of-technical-staff-fullstack-engineer-inflection-ai-1129384
staff software engineer simulation,muon space,"software, design, system, web, cloud, api, operations, engineer, engineering",san jose,not specified,2025-12-31,https://remoteok.com/remote-jobs/remote-staff-software-engineer-simulation-muon-space-1129383
